"Universidad","Tipo de Gestión","Región","Grupo","Estado"
"UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA ","PÚBLICA","LORETO ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ ","PÚBLICA","JUNÍN ","GRUPO 3","LICENCIADA"
"PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ ","PRIVADA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL AGRARIA LA MOLINA ","PÚBLICA","LIMA ","GRUPO 3","LICENCIADA"
"UNIVERSIDAD NACIONAL DE INGENIERÍA ","PÚBLICA","LIMA ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL DE TRUJILLO ","PÚBLICA","LA LIBERTAD ","GRUPO 2","LICENCIADA"
"UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO ","PÚBLICA","CUSCO ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA ","PÚBLICA","AYACUCHO ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS ","PÚBLICA","LIMA ","GRUPO 1","LICENCIADA"
"UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE ","PRIVADA","ANCASH ","GRUPO 4","PROCEDIMIENTO CONCLUIDO POR ABSORCIÓN"
