Universidad,Tipo de Gestión,Región,Grupo,Estado,CODIGO_ENTIDAD,TIPO_GESTION,ESTADO_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO_LOCAL,PROVINCIA_LOCAL,DISTRITO_LOCAL,LATITUD_UBICACION,LONGITUD_UBICACION
UNIVERSIDAD PRIVADA DE TRUJILLO,PRIVADA,LA LIBERTAD,GRUPO 7,LICENCIA DENEGADA,90,PRIVADO,LICENCIA DENEGADA,0,LA LIBERTAD,TRUJILLO,LAREDO,-8.1081445,-78.99437
UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADA,UCAYALI,GRUPO 1,LICENCIA DENEGADA,86,PRIVADO,LICENCIA DENEGADA,0,UCAYALI,CORONEL PORTILLO,CALLERIA,-8.388089,-74.531292
UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADA,LIMA,GRUPO 1,LICENCIA DENEGADA,85,PRIVADO,LICENCIA DENEGADA,0,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-13.07308595,-76.36939859
UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADA,LIMA,GRUPO 8,LICENCIA DENEGADA,83,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,LIMA,-12.0640089,-77.0345749
UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADA,MOQUEGUA,GRUPO 5,LICENCIA DENEGADA,48,PRIVADO,LICENCIA DENEGADA,0,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.1900294,-70.9423867
UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA,PRIVADA,LIMA,GRUPO 8,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD PERUANA DE LAS AMÉRICASS.A.C.,PRIVADA,LIMA,GRUPO 8,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO,PRIVADA,CAJAMARCA,GRUPO 7,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADA,ICA,GRUPO 1,LICENCIA DENEGADA,63,PRIVADO,LICENCIA DENEGADA,0,ICA,ICA,ICA,-14.0767829,-75.7338981
UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADA,LIMA,GRUPO 6,LICENCIA DENEGADA,59,PRIVADO,LICENCIA DENEGADA,0,LIMA,LIMA,JESÚS MARÍA,-12.08137781,-77.04667389
UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADA,LORETO,GRUPO 5,LICENCIA DENEGADA,50,PRIVADO,INFORME DE VERIFICACIÓN PRESENCIAL (IVP),0,LORETO,MAYNAS,SAN JUAN BAUTISTA,-3.769188297,-73.28203694
UNIVERSIDAD SAN PEDRO,PRIVADA,ANCASH,GRUPO 4,LICENCIA DENEGADA,45,PRIVADO,LICENCIA DENEGADA,0,ÁNCASH,SANTA,CHIMBOTE,-9.076107052,-78.5944451
UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADA,LAMBAYEQUE,GRUPO 4,LICENCIA DENEGADA,44,PRIVADO,LICENCIA DENEGADA,0,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.790111,-79.8783334
UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADA,PUNO,GRUPO 3,LICENCIA DENEGADA,36,PRIVADO,LICENCIA DENEGADA,0,PUNO,SAN ROMÁN,JULIACA,-15.532748,-70.118667
UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO,PÚBLICA,LAMBAYEQUE,GRUPO 6,LICENCIA DENEGADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,PÚBLICA,ICA,GRUPO 2,LICENCIA DENEGADA,9,PÚBLICO,LICENCIA DENEGADA,0,ICA,ICA,ICA,-14.0871322,-75.7335148
UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PÚBLICA,AREQUIPA,GRUPO 2,LICENCIADA,5,PÚBLICO,LICENCIA OTORGADA,10,AREQUIPA,AREQUIPA,AREQUIPA,-16.403293,-71.52488856
UNIVERSIDAD DE SAN MARTÍN DE PORRES,PRIVADA,LIMA,GRUPO 2,LICENCIADA,19,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,SANTA ANITA,-12.04549813,-76.96765898
FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA,PRIVADA,LIMA,GRUPO 9,LICENCIADA,149,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,PUEBLO LIBRE,-12.0836439,-77.0692178
UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.,PRIVADA,LIMA,GRUPO 3,LICENCIADA,96,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.19546795,-76.97195455
UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADA,LA LIBERTAD,GRUPO 5,LICENCIADA,52,PRIVADO,LICENCIA OTORGADA,6,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,-8.1293904,-79.0433213
UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO,PÚBLICA,ANCASH,GRUPO 6,LICENCIADA,33,PÚBLICO,LICENCIA OTORGADA,6,ÁNCASH,HUARAZ,INDEPENDENCIA,-9.517640566,-77.52456668
UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR,PÚBLICA,LIMA,GRUPO 1,LICENCIADA,88,PÚBLICO,LICENCIA OTORGADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.2134138,-76.9326924
UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA,LIMA,GRUPO 4,LICENCIADA,71,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,LOS OLIVOS,-11.99999297,-77.06386032
ESCUELA DE POSTGRADO NEUMANN BUSINESS SCHOOL S.A.C.,PRIVADA,TACNA,GRUPO 9,LICENCIADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESCUELA DE POSTGRADO GERENS S.A.,PRIVADA,LIMA,GRUPO 9,LICENCIADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.,PRIVADA,LIMA,GRUPO 7,LICENCIADA,143,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,CHORRILLOS,-12.16619816,-77.02366819
UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO,PÚBLICA,HUANCAVELICA,GRUPO 9,LICENCIADA,138,PÚBLICO,LICENCIA OTORGADA,6,HUANCAVELICA,TAYACAJA,DANIEL HERNÁNDEZ,-12.36081924,-74.83797557
UNIVERSIDAD MARÍA AUXILIADORA S.A.C.,PRIVADA,LIMA,GRUPO 3,LICENCIADA,136,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-11.97832447,-77.01679995
UNIVERSIDAD LA SALLE,PRIVADA,AREQUIPA,GRUPO 6,LICENCIADA,133,PRIVADO,LICENCIA OTORGADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.424163,-71.556192
UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA,PRIVADA,LIMA,GRUPO 1,LICENCIADA,132,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,BARRANCO,-12.13510911,-77.0219533
UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA,PÚBLICA,AYACUCHO,GRUPO 1,LICENCIADA,128,PÚBLICO,LICENCIA OTORGADA,6,AYACUCHO,HUANTA,HUANTA,-12.9366062,-74.243975
UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA,PÚBLICA,JUNÍN,GRUPO 8,LICENCIADA,127,PÚBLICO,LICENCIA OTORGADA,6,JUNÍN,TARMA,TARMA,-11.42001656,-75.68925244
UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS,PÚBLICA,LORETO,GRUPO 5,LICENCIADA,126,PÚBLICO,LICENCIA OTORGADA,6,LORETO,ALTO AMAZONAS,YURIMAGUAS,-5.8974938,-76.1287268
UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,PÚBLICA,CUSCO,GRUPO 8,LICENCIADA,125,PÚBLICO,LICENCIA OTORGADA,6,CUSCO,LA CONVENCIÓN,SANTA ANA,-12.856872,-72.69172369
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,PÚBLICA,JUNÍN,GRUPO 5,LICENCIADA,124,PÚBLICO,LICENCIA OTORGADA,6,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,-11.05655335,-75.33195137
UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA,PÚBLICA,AMAZONAS,GRUPO 6,LICENCIADA,123,PÚBLICO,LICENCIA OTORGADA,6,AMAZONAS,BAGUA,BAGUA,-5.6324299,-78.534926
UNIVERSIDAD NACIONAL DE CAÑETE,PÚBLICA,LIMA,GRUPO 6,LICENCIADA,122,PÚBLICO,LICENCIA OTORGADA,6,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,-13.0730626,-76.3678195
UNIVERSIDAD NACIONAL DE BARRANCA,PÚBLICA,LIMA,GRUPO 7,LICENCIADA,121,PÚBLICO,LICENCIA OTORGADA,6,LIMA,BARRANCA,BARRANCA,-10.7543002,-77.7582572
UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA,PÚBLICA,CAJAMARCA,GRUPO 7,LICENCIADA,120,PÚBLICO,LICENCIA OTORGADA,6,CAJAMARCA,CHOTA,CHOTA,-6.561748217,-78.64988584
UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.,PRIVADA,LIMA,GRUPO 1,LICENCIADA,108,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,LA MOLINA,-12.0857224,-76.9086688
UNIVERSIDAD NACIONAL DE FRONTERA,PÚBLICA,PIURA,GRUPO 8,LICENCIADA,106,PÚBLICO,LICENCIA OTORGADA,6,PIURA,SULLANA,SULLANA,-4.909982224,-80.7284411
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.,PRIVADA,JUNÍN,GRUPO 4,LICENCIADA,105,PRIVADO,LICENCIA OTORGADA,6,JUNÍN,HUANCAYO,HUANCAYO,-12.06559636,-75.20483786
UNIVERSIDAD LE CORDON BLEU S.A.C.,PRIVADA,LIMA,GRUPO 4,LICENCIADA,104,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,MAGDALENA DEL MAR,-12.0985893,-77.05636
UNIVERSIDAD NACIONAL DE JAÉN,PÚBLICA,CAJAMARCA,GRUPO 5,LICENCIADA,101,PÚBLICO,LICENCIA OTORGADA,6,CAJAMARCA,JAÉN,JAÉN,-5.6983568,-78.8096319
UNIVERSIDAD JAIME BAUSATE Y MEZA,PRIVADA,LIMA,GRUPO 3,LICENCIADA,100,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,JESÚS MARÍA,-12.0849556,-77.0547406
UNIVERSIDAD NACIONAL DE JULIACA,PÚBLICA,PUNO,GRUPO 3,LICENCIADA,98,PÚBLICO,LICENCIA OTORGADA,6,PUNO,SAN ROMÁN,JULIACA,-15.48811805,-70.14977609
UNIVERSIDAD DE CIENCIAS Y HUMANIDADES,PRIVADA,LIMA,GRUPO 2,LICENCIADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD NACIONAL DE MOQUEGUA,PÚBLICA,MOQUEGUA,GRUPO 3,LICENCIADA,95,PÚBLICO,LICENCIA OTORGADA,6,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.60183923,-71.34092725
UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,PÚBLICA,APURÍMAC,GRUPO 2,LICENCIADA,89,PÚBLICO,LICENCIA OTORGADA,6,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,-13.6571898,-73.387931
UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,PRIVADA,ICA,GRUPO 2,LICENCIADA,87,PRIVADO,LICENCIA OTORGADA,6,ICA,CHINCHA,CHINCHA ALTA,-13.4156394,-76.1286726
UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA,PÚBLICA,UCAYALI,GRUPO 1,LICENCIADA,84,PÚBLICO,LICENCIA OTORGADA,6,UCAYALI,CORONEL PORTILLO,YARINACOCHA,-8.3478339,-74.5906663
UNIVERSIDAD PARA EL DESARROLLO ANDINO,PRIVADA,HUANCAVELICA,GRUPO 1,LICENCIADA,82,PRIVADO,LICENCIA OTORGADA,6,HUANCAVELICA,ANGARAES,LIRCAY,-12.98757944,-74.72130884
UNIVERSIDAD ANTONIO RUÍZ DE MONTOYA,PRIVADA,LIMA,GRUPO 4,LICENCIADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD ESAN,PRIVADA,LIMA,GRUPO 4,LICENCIADA,79,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.10448969,-76.96196497
UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC,PÚBLICA,APURÍMAC,GRUPO 8,LICENCIADA,77,PÚBLICO,LICENCIA OTORGADA,6,APURÍMAC,ABANCAY,TAMBURCO,-13.61755584,-72.86815631
UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS,PÚBLICA,AMAZONAS,GRUPO 4,LICENCIADA,76,PÚBLICO,LICENCIA OTORGADA,6,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-6.2335409,-77.8531651
UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS,PÚBLICA,MADRE DE DIOS,GRUPO 8,LICENCIADA,75,PÚBLICO,LICENCIA OTORGADA,6,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,-12.5885658,-69.2095274
ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI,PRIVADA,LA LIBERTAD,GRUPO 8,LICENCIADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD SEÑOR DE SIPÁN,PRIVADA,LAMBAYEQUE,GRUPO 6,LICENCIADA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO,PRIVADA,LAMBAYEQUE,GRUPO 5,LICENCIADA,69,PRIVADO,LICENCIA OTORGADA,6,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.76034413,-79.86305548
UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADA,LIMA,GRUPO 7,LICENCIADA,68,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,VILLA EL SALVADOR,-12.2215281,-76.9766998
UNIVERSIDAD CONTINENTAL S.A.C.,PRIVADA,JUNÍN,GRUPO 7,LICENCIADA,67,PRIVADO,LICENCIA OTORGADA,6,JUNÍN,HUANCAYO,HUANCAYO,-12.04773072,-75.19874451
UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.,PRIVADA,LIMA,GRUPO 4,LICENCIADA,65,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,LIMA,-12.0648091,-77.0363951
UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.,PRIVADA,LIMA,GRUPO 6,LICENCIADA,64,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,CHORRILLOS,-12.19647398,-77.0055825
UNIVERSIDAD CATÓLICA SAN PABLO,PRIVADA,AREQUIPA,GRUPO 6,LICENCIADA,62,PRIVADO,LICENCIA OTORGADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.3901384,-71.5357161
UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADA,LIMA,GRUPO 4,LICENCIADA,61,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,LIMA,-12.06960333,-77.03698036
UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.,PRIVADA,LIMA,GRUPO 4,LICENCIADA,57,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,LA MOLINA,-12.07329192,-76.95384422
UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADA,LA LIBERTAD,GRUPO 3,LICENCIADA,55,PRIVADO,LICENCIA OTORGADA,6,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.099867684,-79.0190815
UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADA,LIMA,GRUPO 5,LICENCIADA,54,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.104061,-76.962902
UNIVERSIDAD NACIONAL DE HUANCAVELICA,PÚBLICA,HUANCAVELICA,GRUPO 8,LICENCIADA,51,PÚBLICO,LICENCIA OTORGADA,6,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,-12.7781367,-74.9614392
UNIVERSIDAD MARCELINO CHAMPAGNAT,PRIVADA,LIMA,GRUPO 4,LICENCIADA,49,PRIVADO,LICENCIA OTORGADA,6,LIMA,LIMA,SANTIAGO DE SURCO,-12.1363972,-77.0057685
UNIVERSIDAD DE HUÁNUCO,PRIVADA,HUÁNUCO,GRUPO 4,LICENCIADA,47,PRIVADO,LICENCIA OTORGADA,6,HUÁNUCO,HUÁNUCO,HUANUCO,-9.928390564,-76.2370196
UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADA,LA LIBERTAD,GRUPO 4,LICENCIADA,46,PRIVADO,LICENCIA OTORGADA,6,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.127906352,-79.03236073
UNIVERSIDAD PRIVADA DE TACNA,PRIVADA,TACNA,GRUPO 4,LICENCIADA,43,PRIVADO,LICENCIA OTORGADA,6,TACNA,TACNA,POCOLLAY,-18.0058389,-70.2254838
UNIVERSIDAD NACIONAL DEL SANTA,PÚBLICA,ANCASH,GRUPO 7,LICENCIADA,42,PÚBLICO,LICENCIA OTORGADA,6,ÁNCASH,SANTA,NUEVO CHIMBOTE,-9.120895988,-78.5133409
